loss,acc,val_loss,val_acc
3.8136400932702013,6.4971046,3.6128788152093554,9.36892
3.5285334442370235,11.895967,3.42680265096375,14.117218
3.3606042393480244,15.889576,3.30663050566202,17.801556
3.2497416151979097,18.570288,3.247658855720253,20.30034
3.1790490634144306,20.045427,3.1294584496939692,22.37354
3.113248080491258,21.767672,3.1144388139479817,22.106031
3.065158432284102,23.48742,3.0727289919723333,23.340223
3.013199312999226,24.433407,2.9976821214772382,25.151995
2.973506523397403,25.366913,2.934612840993859,27.474464
2.929427860643917,27.071684,2.948474112187842,27.030642
2.899585982861991,27.675718,2.8763790362539923,29.17072
2.8745593460984886,28.579273,2.873943948560188,29.45039
2.845662901195855,29.25569,2.845699069101059,30.392754
2.824490125948629,30.266573,2.82402967107899,30.903454
2.8004035374607903,30.461262,2.831762580092315,30.392754
2.7817126862918986,31.352335,2.7766951642611613,31.76678
2.763841288158307,32.043728,2.80755511981504,31.49927
2.741944056730301,32.547924,2.7732747584465414,32.666584
2.73306159622753,33.181908,2.770865436657857,32.50851
2.7247825426796375,32.9997,2.782535835926635,32.06469
2.7126473934886555,33.4365,2.7530832921484567,32.53891
2.6989248655855467,34.008087,2.7143306769285687,34.295963
2.6872431664421152,34.14287,2.733305644432394,33.487354
2.682942890511534,34.215256,2.722120459441545,33.767025
2.669496854273275,34.657047,2.7141730562722173,33.967655
2.661957933118168,34.951576,2.686296094716291,34.95258
2.653291567445944,35.053913,2.7179565912090853,34.247326
2.6438963954060224,35.70038,2.6706617286696974,35.353844
2.647979122381241,35.548122,2.674992165212965,35.548393
2.633921364625803,35.757786,2.6558041155106364,35.90102
2.6271702786223194,35.935005,2.6611055502167935,36.332684
2.62052783874658,36.039837,2.6774690086275688,35.566635
2.6124090649449405,36.783646,2.6474890152304087,36.509
2.60561087527595,36.58646,2.7006475823398692,34.4358
2.6073427516431473,36.716255,2.65288632018093,35.8767
2.6033209870798517,36.771164,2.654612560680404,36.18677
2.5923543060168672,36.821087,2.683529528198539,35.60919
2.59424519081847,37.178013,2.638590725479423,36.521156
2.5842443533217945,37.382687,2.6477245301124186,35.94966
2.583419645556246,37.557407,2.7194546753330453,34.180447
2.577810543413741,37.859425,2.7114173920701914,34.92218
2.5708638387747085,37.85693,2.6190840094006016,37.080498
2.576983622849559,37.422623,2.6140065898227323,36.9285
2.5709758280946042,37.73213,2.6342502892713138,37.25073
2.558248444106251,38.119007,2.6353432362181666,36.606274
2.5605584082131188,38.05411,2.61049150121815,37.639835
2.5486680741508168,38.598244,2.614815515302962,37.52432
2.5535551759000783,38.33117,2.5994252128823723,37.700634
2.546129839108013,38.528355,2.5967416021146663,37.390564
2.542709247753643,38.70557,2.6051305648417786,38.02894
2.53624997504603,38.985123,2.61681637782531,37.214252
2.5433879565126216,38.515873,2.58176602371008,38.387646
2.536878233519606,38.99261,2.586383204515806,38.78283
2.534710501710447,39.247204,2.5690782357746524,39.171936
2.5325079428883024,38.95767,2.5890949032186072,38.746353
2.527293209069834,39.139877,2.5640628959418272,38.916584
2.5246672557946592,39.18231,2.593427295350843,37.688473
2.524861397072911,39.327076,2.5809956668415888,37.700634
2.5188880579921005,39.631588,2.5781702605666816,38.80107
2.520784617232058,39.459366,2.567898409839734,38.636917
2.4440764630564487,42.040234,2.512704572788936,40.38789
2.4135867157302346,43.058605,2.499643295191605,40.92291
2.400696663810803,43.178413,2.5008004003925546,40.819553
2.3922356580393003,43.44299,2.5050959178909715,40.83779
2.3865582664934593,43.75499,2.492148438316375,41.178257
2.383675241432251,44.009583,2.488150287231119,41.178257
2.3766876782853004,43.927216,2.4824607010481423,41.500484
2.366499330669927,44.413937,2.4761206732649748,41.7072
2.3643308319984535,44.38149,2.485587633537411,41.287693
2.362886736949031,44.775856,2.4681373695455173,42.102383
2.3640385127296084,44.588657,2.4762968543902444,41.847034
2.354517779411218,44.671024,2.4683471927383067,42.2179
2.348569871899419,44.863216,2.468972577195223,42.132782
2.349101970370966,45.247604,2.468898983780976,42.1267
2.3487254767753063,45.177715,2.4711493995866887,42.2483
2.3515594416913896,45.100338,2.464009594360678,42.315174
